"Translation ID";"Description";"fi-FI";"eu-ES";"hr-HR";"th-TH";"nl-NL";"ru-RU";"es-ES";"ro-RO";"pt-PT";"sl-SI";"et-EE";"de-DE";"pt-BR";"hy-AM";"nb-NO";"gl-ES";"fa-IR";"cs-CZ";"id-ID";"ta-IN";"en-US";"el-GR";"ja-JP";"sr-Latn-RS";"hi-IN";"ca-ES";"zh-CN";"sk-SK";"hu-HU";"ko-KR";"ar-AE";"he-IL";"tr-TR";"sv-SE";"uk-UA";"ga-IE";"fr-FR";"bn-IN";"pl-PL";"lt-LT";"vi-VN";"it-IT"
"commandHint_leave";"Usage hint for the command /leave";"Poistu tästä huoneesta";"Utzi gela hau";"Napusti ovu sobu";"";"Deze kamer verlaten";"Покинуть эту комнату";"Deja esta sala";"Renunțați la această cameră";"";"Zapusti to sobo";"Lahku sellest jututoast";"Diesen Raum verlassen";"Sair desta sala";"";"";"Saír desta sala";"این اتاق را ترک کنید";"Opusťte tuto místnost";"Tinggalkan ruangan ini";"";"Leave this room";"";"この部屋を退出";"Напусти ову собу";"";"Abandona aquesta sala";"退出该聊天室";"";"Ennek a szobának az elhagyása";"이 룸 나가기";"تغادر هذه الغرفة";"עזוב את החדר הזה";"Bu odadan ayrılın";"Lämna detta rum";"Вийти з цієї кімнати";"Fág an seomra seo";"Quitter ce salon";"";"Wyjdź z tego pokoju";"Palikti pokalbių kambarį";"";"Lascia questa stanza"
"commandHint_markasdm";"";"Merkitse yksityiskeskusteluksi";"Markatu mezu-zuzen gela bezala";"Označi kao sobu za izravnu razmjenu poruka";"";"Markeer als privéberichtenkamer";"Пометить как комнату личных сообщений";"";"Marcați ca cameră de mesaje directe";"";"";"Märgi otsevestusluseks";"Als Direktnachrichtenraum markieren";"Marcar como conversa direta";"";"";"Marcar como sala de mensaxe directa";"بہ عنوان اتاق پیام‌های مستقیم علامت دهید";"";"Tandai sebagai ruangan pesan langsung";"";"Mark as direct message room";"";"ダイレクトメッセージの部屋としてマークする";"";"";"";"标记为私信聊天室";"";"";"";"وضع علامة كغرفة رسائل مباشرة";"";"Doğrudan mesaj odası olarak işaretle";"Märk som rum för direktmeddelanden";"Позначити кімнатою особистого спілкування";"";"Marquer comme salon de messagerie directe";"";"Oznacz jako pokój wiadomości bezpośrednich";"Pažymėti kaip tiesioginio pokalbio kambarį";"";""
"commandHint_markasgroup";"";"Merkitse ryhmäksi";"Markatu talde bezala";"Označi kao grupu";"";"Markeer als groep";"Пометить как группу";"Marcar como grupo";"Marcați ca grup";"";"";"Märgi vestlusrühmaks";"Als Gruppe markieren";"Marcar como grupo";"";"";"Marcar como grupo";"بہ عنوان گروه علامت دهید";"";"Tandai sebagai grup";"";"Mark as group";"";"グループとしてマーク";"";"";"";"标记为群组";"";"Csoportnak jelölés";"";"وضع علامة كمجموعة";"";"Grup olarak işaretle";"Märk som grupp";"Позначити групою";"";"Marquer comme groupe";"";"Oznacz jako grupę";"Pažymėti kaip grupę";"";""
"commandHint_me";"Usage hint for the command /me";"Kuvaile itseäsi";"Deskriba zaitez";"Opiši se";"";"Beschrijf jezelf";"Опишите себя";"Descríbete";"Descrieți-vă";"";"Opisi sebe";"Kirjelda ennast";"Beschreibe dich selbst";"Descrever você mesmo";"";"";"Conta algo sobre ti";"خود را توصیف کنید";"Popiš se";"Jelaskan dirimu";"";"Describe yourself";"";"";"Опишите себе";"";"Descriviu-vos";"介绍自己";"";"Mit csinálsz épp";"자신을 소개하세요";"صف نفسك";"תאר את עצמך";"Kendinizi tanımlayın";"Beskriv dig själv";"Опишіть себе";"Déan cur síos ort féin";"Décrivez-vous";"";"Opisz siebie";"Apibūdinkite save";"";""
"commandHint_myroomavatar";"Usage hint for the command /myroomavatar";"Aseta profiilikuvasi tähän huoneeseen (syöttämällä mxc-uri)";"Ezarri irudi bat gela honetarako (by mxc-uri)";"Postavi svoju sliku za ovu sobu";"";"Je avatar voor deze kamer instellen (met mxc-uri)";"Установите свою фотографию для этой комнаты (автор: mxc-uri)";"Selecciona tu foto para esta sala (by mxc-uri)";"Alegeți un avatar pentru această cameră (foloșește mxc-uri)";"";"Nastavite svojo sliko za to sobo";"Määra selles jututoas oma tunnuspilt (mxc-uri vahendusel)";"Setze dein Profilbild nur für diesen Raum (MXC-Uri)";"Determinar sua imagem para esta sala (via mxc-uri)";"";"";"Establece a túa imaxe para esta sala (por mxc-uri)";"برای این اتاق عکس پروفایل خود تنظیم کنید (با mxc-uri)";"Nastavte obrázek pro tuto místnost (autor mxc-uri)";"Tetapkan gambar Anda untuk ruangan ini (oleh uri-mxc)";"";"Set your picture for this room (by mxc-uri)";"";"この部屋の写真を設定する (mxc-uriで)";"";"";"Establiu la imatge per a aquesta sala (per mxc-uri)";"设置您的聊天室头像（通过 mxc-uri）";"";"Az ebben a szobában megjelenített profilképed megváltoztatása (mxc URI-t kell megadni)";"이 방의 사진 설정하기 (by mxc-uri)";"حدد صورتك لهذه الغرفة (عن طريق mxc-uri)";"הגדר את התמונה שלך לחדר זה (על ידי mxc-uri)";"Bu oda için resminizi ayarlayın (mxc-uri ile)";"Sätt din bild för detta rum (by mxc-uri)";"Встановіть зображення для цієї кімнати (від mxc-uri)";"Cuir do phictiúr don seomra seo (le mxc-uri)";"Définir votre image pour ce salon (par mxc-uri)";"";"Ustaw awatar dla tego pokoju (przez mxc-uri)";"Nustatyti savo nuotrauką šiam kambariui (mxc-uri)";"";""
"commandHint_myroomnick";"Usage hint for the command /myroomnick";"Aseta näyttönimesi vain tässä huoneessa";"Ezarri izengoiti bat gela honetarako";"Postavi svoje ime za ovu sobu";"";"Je naam voor deze kamer instellen";"Задайте отображаемое имя для этой комнаты";"Establece tu nombre para mostrar para esta sala";"Alegeți un displayname pentru această cameră";"";"Nastavite prikazno ime za to sobo";"Määra selles jututoas oma kuvatav nimi";"Setze deinen Anzeigenamen nur für diesen Raum";"Determinar seu nome de exibição para esta sala";"";"";"Establece o teu nome público para esta sala";"برای این اتاق نام نمایش خود را تنظیم کنید";"Nastavte své zobrazované jméno pro tuto místnost";"Tetapkan nama tampilan Anda untuk ruangan ini";"";"Set your display name for this room";"";"この部屋の表示名を設定する";"Поставља ваш надимак за ову собу";"";"Estableix el teu àlies per a aquesta sala";"设置您的聊天室昵称";"";"Az ebben a szobában megjelenített beceneved megváltoztatása";"이 방의 표시 이름 설정하기";"عين اسمًا لك مخصص لهذه الغرفة";"הגדר את שם התצוגה שלך עבור חדר זה";"Bu oda için görünen adınızı ayarlayın";"Sätt ditt användarnamn för rummet";"Укажіть показуване ім'я для цієї кімнати";"Socraigh d'ainm taispeána don seomra seo";"Définir votre nom d'affichage pour ce salon";"";"Ustaw nazwę wyświetlaną dla tego pokoju";"Nustatykite savo vardą šitam kambariui";"";""
"commandHint_op";"Usage hint for the command /op";"Aseta käyttäjän voimataso (oletus: 50)";"Zehaztu erabiltzaile honen botere-maila (lehenetsia: 50)";"Postavi razinu prava zadanog korisnika (standardno: 50)";"";"Machtsniveau van de persoon instellen (standaard: 50)";"Установить уровень прав данного пользователя (по умолчанию: 50)";"Establece el nivel de potencia del usuario dado (default: 50)";"Stabiliți nivelul de putere a utilizatorul ales (implicit: 50)";"";"Nastavite raven moči danega uporabnika (privzeto: 50)";"Seadista selle kasutaja õigusi (vaikimisi: 50)";"Setze den übergeben Powerlevel des Benutzers (Standard: 50)";"Determinar o grau de poderes de um(a) usuário(a) (padrão: 50)";"";"";"Establecer o nivel de responsabilidade da usuaria (por defecto: 50)";"درجۂ اجازۀ کاربر مشخص شده را تنظیم کنید (پیشفرض: ۵۰)";"Nastavit úroveň práv daného uživatele (výchozí: 50)";"Tetapkan tingkat kekuatan pengguna yang dicantum (default: 50)";"";"Set the given user's power level (default: 50)";"";"";"Подеси ниво задатог корисника (подразумевано: 50)";"";"Estableix el nivell d'autoritat de l'usuari (per defecte: 50)";"设置该用户的权限等级（默认：50）";"";"Az adott felhasználó hozzáférési szintjét változtatja (alapértelmezett: 50)";"주어진 유저의 권한 레벨 설정 (기본:50)";"عين مستوى نفوذ المستخدم في هذه الغرفة (الافتراضي: 50)";"הגדרת רמת צריכת החשמל של המשתמש הנתון (ברירת מחדל: 50)";"Verilen kullanıcının güç seviyesini ayarlayın (öntanımlı: 50)";"Sätt användarens kraft nivå ( standard: 50)";"Укажіть рівень повноважень цього користувача (типово: 50)";"Socraigh leibhéal cumhachta an úsáideora áirithe (réamhshocrú: 50)";"Définir le niveau de puissance de l'utilisateur/trice donné(e) (par défaut : 50)";"";"Ustaw moc uprawnień użytkownika (domyślnie: 50)";"Nustatykite naudotojo galios lygį (numatytasis: 50)";"";""
"commandHint_plain";"Usage hint for the command /plain";"Lähetä muotoilematonta tekstiä";"Bidali formaturik gabeko testua";"Pošalji neformatirani tekst";"";"Niet-opgemaakte tekst versturen";"Отправить неотформатированный текст";"Enviar texto sin formato";"Trimiteți text simplu/neformatat";"";"Pošlji neformatirano besedilo";"Saada vormindamata tekst";"Sende unformatierten Text";"Enviar mensagem sem formatação";"";"";"Enviar texto sen formato";"متن بی فرمت را فرستید";"Odeslat neformátovaný text";"Kirim teks yang tidak diformat";"";"Send unformatted text";"";"書式設定されていないテキストを送信する";"Шаљи неформатиран текст";"";"Envia text sense format";"发送纯文本";"";"Formázatlan szöveg küldése";"형식이 지정되지 않은 문자 보내기";"أرسل نصًا غير منسق";"שלח טקסט לא מעוצב";"Biçimlendirilmemiş metin gönderin";"Skicka oformaterad text";"Надіслати неформатований текст";"Seol téacs neamhfhoirmithe";"Envoyer du texte non formaté";"";"Wyślij niesformatowany tekst";"Siųsti neformatuotą tekstą";"";"Invia testo non formattato"
"commandHint_react";"Usage hint for the command /react";"Lähetä vastaus reaktiona";"Bidali erantzuna erreakzioa bailitzan";"Pošalji odgovor kao reakciju";"";"Antwoord als reactie versturen";"Отправить ответ как реакцию";"Enviar respuesta como reacción";"Trimiteți răspuns ca reacție";"";"Pošljite odgovor kot reakcijo";"Saada vastus reaktsioonina";"Sende die Antwort als Reaction";"Enviar uma resposta como reação";"";"";"Enviar resposta como reacción";"پاسخ را بہ عنوان یہ واکنش فرستید";"Odeslat odpověď jako reakci";"Kirim balasan sebagai reaksi";"";"Send reply as a reaction";"";"リアクションとして返信を送信する";"Шаљи одговор као реакцију";"";"Envia una resposta com a reacció";"将回复作为响应发送";"";"Válasz küldése reakcióként";"답장 반응으로 보내기";"أرسل ردًا كتفاعل";"שלח תשובה כתגובה";"Tepki olarak yanıt gönderin";"Skicka svar som reaktion";"Надіслати відповідь як реакцію";"Seol freagra mar fhreagairt";"Envoyer une réponse en tant que réaction";"";"Wyślij odpowiedź jako reakcję";"Siųsti atsakymą kaip reakciją";"";""
"commandHint_send";"Usage hint for the command /send";"Lähetä tekstiä";"Bidali testua";"Pošalji tekst";"";"Tekst versturen";"Отправить текст";"Enviar texto";"Trimiteți text";"";"Pošlji besedilo";"Saada sõnum";"Text senden";"Enviar mensagem";"";"";"Enviar texto";"متن را فرستید";"Poslat zprávu";"Kirim teks";"";"Send text";"";"テキストを送信";"Пошаљи текст";"";"Envia text";"发送文本";"";"Szöveg küldése";"문자 보내기";"أرسل نصًا";"שלח טקסט";"Metin gönderin";"Skicka text";"Надіслати текст";"Seol téacs";"Envoyer du texte";"";"Wyślij wiadomość";"Siųsti tekstą";"";"Invia testo"
"commandHint_unban";"Usage hint for the command /unban";"Poista syötetyn käyttäjän porttikielto tästä huoneesta";"Baimendu erabiltzailea gela honetan";"Ponovo uključi korisnika u ovu sobu";"";"Persoon weer in deze kamer toestaan";"Разблокировать данного пользователя в этой комнате";"Des banear al usuario dado en esta sala";"Dezinterziceți utilizatorul ales din această cameră";"";"Prekliči izključitev določenega uporabnika iz te sobe";"Eemalda sellelt kasutajalt antud jututoas suhtluskeeld";"Hebe die Verbannung dieses Benutzers in diesem Raum auf";"Revogar o banimento de um(a) usuário(a) desta sala";"";"";"Retirar veto á usuaria para esta sala";"کاربر مشخص شده را لغو ممنوعیت کنید";"Zrušit zákaz daného uživatele z této místnosti";"Hilangkan cekalan untuk pengguna yang dicantumkan dari ruangan ini";"";"Unban the given user from this room";"";"";"Скини забрану задатом кориснику за ову собу";"";"";"在此聊天室解封该用户";"";"Az adott felhasználó visszaengedése ebbe a szobába";"주어진 유저 이 룸에서 밴 해제하기";"فك الحظر عن المستخدم المذكور في هذه الغرفة";"בטל את החסימה של המשתמש הנתון מהחדר הזה";"Verilen kullanıcının bu odadaki yasağını kaldırın";"Tillåt användare i rummet";"Розблокувати цього користувача у цій кімнаті";"Cuir deireadh an cosc den úsáideoir áirithe ón seomra seo";"Débannir l'utilisateur/trice donné(e) de ce salon";"";"Odblokuj użytkownika w tym pokoju";"Atblokuoti vartotoją iš šito kambario";"";""
"commandInvalid";"";"Epäkelvollinen komento";"Komandoa ez da baliogarria";"Naredba nevaljana";"";"Opdracht ongeldig";"Недопустимая команда";"Comando inválido";"Comandă nevalibilă";"";"Ukaz ni veljaven";"Vigane käsk";"Befehl ungültig";"Comando inválido";"";"";"Comando non válido";"فرمان اعتبار نیست";"Příkaz je neplatný";"Perintah tidak valid";"";"Command invalid";"";"コマンドが無効";"";"";"L’ordre no és vàlida";"指令无效";"";"Érvénytelen parancs";"잘못된 명령어";"أمر غير صالح";"הפקודה אינה חוקית";"Komut geçersiz";"Felaktigt kommando";"Неприпустима команда";"Ordú neamhbhailí";"Commande invalide";"";"Nieprawidłowe polecenie";"Neteisinga komanda";"";"Comando non valido"
"commandMissing";"State that {command} is not a valid /command.";"{command} ei ole komento.";"{command} ez da komandoa.";"{command} nije naredba.";"";"{command} is geen opdracht.";"{command} не является командой.";"{command} no es un comando.";"{command} nu este o comandă.";"";"{command} is not a command.";"{command} ei ole käsk.";"{command} ist kein Befehl.";"{command} não é um comando.";"";"";"{command} non é un comando.";"{command} یہ فرمان نیست.";"{command} není příkaz.";"{command} bukan sebuah perintah.";"";"{command} is not a command.";"";"{command} はコマンドではありません。";"";"";"{command} no és una ordre.";"{command} 不是指令。";"";"{command} nem egy parancs.";"{command} 는 명령어가 아닙니다.";"{command} ليس بأمر.";"{command} אינו פקודה.";"{command} bir komut değil.";"{command} är inte ett kommando.";"{command} не є командою.";"Ní ordú é {command}.";"{command} n'est pas une commande.";"";"{command} nie jest poleceniem.";"{command} nėra komanda.";"";""
"compareEmojiMatch";"";"Vertaile ja varmista emojien olevan samat molemmilla laitteilla:";"Konparatu eta egiazta ezazu ondorengo emojiak beste gailukoaren berdinak direla:";"Usporedi i provjeri, poklapaju li se sljedeći emojiji s onima drugog uređaja:";"";"Vergelijk of de volgende emoji overeenkomen met die van het andere apparaat:";"Сравните и убедитесь, что следующие эмодзи соответствуют эмодзи на другом устройстве:";"Compare y asegúrese de que los siguientes emoji coincidan con los del otro dispositivo:";"Vă rugăm să comparați emoji-urile";"";"Primerjajte in se prepričajte, da se naslednji emoji ujemajo s tistimi iz druge naprave:";"Võrdle ja kontrolli, et emotikonid on teises seadmes täpselt samad:";"Vergleiche und stelle sicher, dass die folgenden Emoji mit denen des anderen Gerätes übereinstimmen:";"Compare e certifique-se que os seguintes emojis batem com os do outro dispositivo:";"";"Sammenlign og forsikre at følgende smilefjes samsvarer med de på den andre enheten:";"Comparar e asegurarse de que estas emoticonas concordan no outro dispositivo:";"مقایسہ و حتمی کنید کہ اموجی‌های بعد با آنھای دستگاه دیگر باهم می‌آیند:";"Porovnejte a přesvědčete se, že následující emotikony se shodují na obou zařízeních:";"Bandingkan dan pastikan emoji cocok di perangkat lainnya:";"";"Compare and make sure the following emoji match those of the other device:";"";"表示されている絵文字が他のデバイスで表示されているものと一致するか確認してください:";"Упоредите и проверите да су емоџији идентични као на другом уређају:";"";"Compareu i assegureu-vos que els emojis següents coincideixen amb els de l’altre dispositiu:";"对比并确认这些表情匹配其他那些设备:";"Porovnajte a uistite sa, že nasledujúce emotikony sa zhodujú na oboch zariadeniach:";"Hasonlítsd össze az emodzsikat a másik eszközön lévőkkel:";"다른 기기에서도 아래의 이모지가 일치하는지 비교하세요:";"تأكد من أن هذه الإيموجي تطابق الموجودة على الأجهزة الأخرى:";"השווה וודא שהאימוג'י הבאים תואמים לאלו של המכשיר השני:";"Karşılaştırın ve aşağıdaki emojilerin diğer aygıttaki emojilerle eşleştiğinden emin olun:";"Jämför och se till att följande emoji matchar den andra enheten:";"Порівняйте і переконайтесь, що показані емодзі збігаються емодзі на іншому пристрої:";"Déan comparáid agus déan cinnte go bhfuil an emoji seo a leanas comhoiriúnach le emoji an ghléis eile:";"Comparez les emojis suivants avec ceux de l'autre appareil et assurez-vous qu'ils correspondent :";"";"Porównaj i sprawdź czy na innym urządzeniu wyświetlają się te same emoji:";"Palyginkite ir įsitikinkite, kad šie emoji  atitinka kito įrenginio emoji:";"So sánh và đảm bảo các biểu tượng cảm xúc sau đây giống với các biểu tượng trên máy còn lại";"Confronta e assicurati che le seguenti emoji corrispondano a quelle dell'altro dispositivo:"
"compareNumbersMatch";"";"Vertaile ja varmista numeroiden olevan samat molemmilla laitteilla:";"Konparatu eta egiazta ezazu ondorengo zenbakiak beste gailukoaren berdinak direla:";"Usporedi i provjeri, poklapaju li se sljedeći brojevi s onima drugog uređaja:";"";"Vergelijk of de volgende nummers overeenkomen met die van het andere apparaat:";"Сравните и убедитесь, что следующие числа соответствуют числам на другом устройстве:";"Compare y asegúrese de que los siguientes números coincidan con los del otro dispositivo:";"Vă rugăm să comparați numerele";"";"Primerjajte in se prepričajte, da se naslednje številke ujemajo s številkami druge naprave:";"Võrdle ja kontrolli, et järgnevad numbrid on teises seadmes täpselt samad:";"Vergleiche und stelle sicher, dass die folgenden Zahlen mit denen des anderen Gerätes übereinstimmen:";"Compare e certifique-se de que os seguintes números batem com os do outro dispositivo:";"";"Sammenlign og forsikre at følgende tall samsvarer med de på den andre enheten:";"Compara e asegúrate de que os seguintes números concordan cos do outro dispositivo:";"مقایسہ و حتمی کنید کہ شماره‌های بعد با آنھای دستگاه دیگر باهم می‌آیند:";"Porovnejte a přesvědčete se, že následující čísla se shodují na obou zařízeních:";"Bandingkan dan pastikan angka cocok di perangkat lainnya:";"";"Compare and make sure the following numbers match those of the other device:";"";"表示されている数字が他のデバイスで表示されているものと一致するか確認してください:";"Упоредите и проверите да су следећи бројеви идентични као на другом уређају:";"";"Compareu i assegureu-vos que els nombres següents coincideixen amb els de l’altre dispositiu:";"比较以下数字，确保它们和另一设备上的相同:";"Porovnajte a uistite sa, že nasledujúce čísla sa zhodujú na oboch zariadeniach:";"Hasonlítsd össze a számokat a másik eszközön lévőkkel:";"다른 기기에서도 아래의 숫자가 일치하는지 비교하세요:";"تأكد من أن هذه الأرقام تطابق الموجودة على الأجهزة الأخرى:";"השווה וודא שהמספרים הבאים תואמים לאלה של המכשיר השני:";"Karşılaştırın ve aşağıdaki numaraların diğer aygıttaki numaralarla eşleştiğinden emin olun:";"Jämför och se till att följande nummer matchar den andra enheten:";"Порівняйте і переконайтесь, що вказані числа збігаються з числами на іншому пристрої:";"Déan comparáid idir na huimhreacha seo a leanas agus déan cinnte go bhfuil na huimhreacha seo a leanas ag teacht le huimhreacha an ghléis eile:";"Comparez les chiffres suivants avec ceux de l'autre appareil et assurez-vous qu'ils correspondent :";"";"Porównaj i sprawdź czy na innym urządzeniu wyświetlają się te same cyfry:";"Palyginkite ir įsitikinkite, kad šie skaičiai sutampa su kito įrenginio skaičiais:";"So sánh và đảm bảo các số sau đây giống trên máy còn lại";"Confronta e assicurati che le seguenti emoji corrispondano a quelle dell'altro dispositivo:"
"configureChat";"";"Määritä keskustelu";"Konfiguratu txata";"Konfiguriraj chat";"";"Chat configureren";"Настроить чат";"Configurar chat";"Configurați chat";"";"Konfigurirajte klepet";"Seadista vestlust";"Chat konfigurieren";"Configurar conversa";"";"Sett opp sludring";"Configurar chat";"گپ را تنظیم کنید";"Nastavení chatu";"Konfigurasikan chat";"";"Configure chat";"";"チャットの設定";"Подешавање ћаскања";"";"Configura el xat";"配置聊天";"";"Beszélgetés beállítása";"채팅 설정";"ضبط المحادثة";"קביעת תצורה של צ'אט";"Sohbeti yapılandır";"Konfigurera chatt";"Налаштувати чат";"Cumraigh comhrá";"Configurer la discussion";"";"Konfiguruj chat";"Nustatyti pokalbį";"";"Configura la discussione"
"confirm";"";"Vahvista";"Baieztatu";"Potvrdi";"";"Bevestigen";"Подтвердить";"Confirmar";"Confirmați";"";"Potrdi";"Kinnita";"Bestätigen";"Confirma";"";"Bekreft";"Confirmar";"تائید";"Potvrdit";"Konfirmasi";"";"Confirm";"";"確認";"Потврди";"";"Confirma";"确认";"Potvrdiť";"Megerősítés";"확인";"أكّد";"לאשר";"Onayla";"Bekräfta";"Підтвердити";"Deimhnigh";"Confirmer";"";"Potwierdź";"Patvirtinti";"Xác nhận";"Conferma"
"confirmEventUnpin";"";"Haluatko varmasti irrottaa tapahtuman pysyvästi?";"Ziur zaude gertaerari iltzea kendu nahi diozula?";"Stvarno želiš trajno otkvačiti događaj?";"";"Weet je zeker dat je de gebeurtenis definitief wilt losmaken?";"Вы уверены, что хотите навсегда открепить событие?";"";"Sunteți sigur că doriți să anulați permanent fixarea evenimentului?";"";"";"Kas sa oled kindel, et tahad klammerdatud sündmuse eemaldada?";"Möchtest du das Ereignis wirklich dauerhaft lösen?";"Tem certeza que quer desafixar o evento permanentemente?";"";"";"Tes a certeza de querer desafixar o evento?";"آیا از برداشتن سنجاق رویداد به صورت دائمی مطمئن هستید؟";"Opravdu chcete událost trvale odepnout?";"Apakah kamu yakin untuk melepaskan pin peristiwa ini secara permanen?";"";"Are you sure to permanently unpin the event?";"";"イベントの固定を完全に解除してもよろしいですか？";"";"";"";"你确定要永久性取消置顶这一活动吗？";"";"";"이벤트를 영구적으로 고정 해제할 것이 확실한가요?";"هل أنت متأكد من إلغاء تثبيت الحدث بشكل دائم؟";"";"Etkinliğin sabitlemesini kalıcı olarak kaldırmak istediğinizden emin misiniz?";"Är du säker på att händelsen inte längre skall vara fastnålad?";"Ви впевнені, що бажаєте назавжди відкріпите подію?";"";"Voulez-vous vraiment désépingler définitivement l'événement ?";"";"Czy na pewno chcesz trwale odpiąć wydarzenie?";"Ar tikrai visam laikui atjungsite įvykį?";"";""
"confirmMatrixId";"";"Kirjoita REChain 🪐 IDsi uudelleen poistaaksesi tunnuksesi.";"Baieztatu zure REChain 🪐 IDa kontua ezabatzeko.";"Za brisanje tvog računa potvrdi svoj REChain 🪐 ID.";"";"Bevestig jouw REChain 🪐 ID om je account te verwijderen.";"Пожалуйста, подтвердите REChain 🪐 ID, чтобы удалить свою учётную запись.";"";"Vă rugăm să confirmați REChain 🪐 ID-ul vostru să ștergeți contul vostru.";"";"";"Konto kustutamiseks palun kinnitage oma REChain 🪐'i ID.";"Bitte bestätigen deine REChain 🪐 -ID, um dein Konto zu löschen.";"Por favor, confirme seu ID REChain 🪐 para apagar sua conta.";"";"";"Confirma o teu ID REChain 🪐 para poder eliminar a conta.";"لطفاً شناسایی ماترس تان را تایید دهید تا حساب تان را حذف کنید.";"Prosím, potvrďte vaše REChain 🪐 ID, abyste mohli smazat váš účet.";"Mohon konfirmasi ID REChain 🪐 Anda untuk menghapus akun Anda.";"";"Please confirm your REChain 🪐 ID in order to delete your account.";"";"アカウントを削除するには、REChain 🪐 IDを確認してください。";"";"";"";"要删除账户，请确认你的 REChain 🪐 ID。";"";"A fiók törléséhez adja meg a REChain 🪐 ID-t.";"계정을 삭제하려면 REChain 🪐 ID를 확인해 주세요.";"يرجى تأكيد معرف REChain 🪐 الخاص بك من أجل حذف حسابك.";"";"Hesabınızı silmek için lütfen REChain 🪐 kimliğinizi doğrulayın.";"Bekräfta ditt REChain 🪐-ID för att radera ditt konto.";"Підтвердьте свій REChain 🪐 ID, щоб видалити свій обліковий запис.";"";"Veuillez confirmer votre identifiant REChain 🪐 afin de supprimer votre compte.";"";"Potwierdź swój identyfikator REChain 🪐 w celu usunięcia konta.";"Norėdami ištrinti savo paskyrą, patvirtinkite savo REChain 🪐 ID.";"";""
"connect";"";"Yhdistä";"Konektatu";"Spoji";"";"Verbinden";"Присоединиться";"Conectar";"Conectați";"";"Povežite se";"Ühenda";"Verbinden";"Conectar";"";"Koble til";"Conectar";"اتصال";"Připojit";"Hubungkan";"";"Connect";"";"接続";"Повежи се";"";"Connecta";"连接";"Pripojiť";"Csatlakozás";"연결";"اتصل";"התחבר";"Bağlan";"Anslut";"Під'єднатись";"Ceangail";"Se connecter";"";"Połącz";"Prisijungti";"Kết nối";"Connetti"
"connectionAttemptFailed";"";"Yhteysyritys epäonnistui";"Konektatze saiakerak huts egin du";"Neuspio pokušaj povezivanja";"";"Verbindingspoging is mislukt";"Попытка подключения не удалась";"Falló el intento de conexión";"";"";"Poskus povezave ni uspel";"Ühenduse loomise katse ebaõnnestus";"Verbindungsversuch fehlgeschlagen";"A tentativa de conexão falhou";"";"Kunne ikke koble til";"Fallou o intento de conexión";"سعی اتصال موفق نشد";"Pokus o připojení selhal";"Upaya koneksi gagal";"";"Connection attempt failed";"";"接続が失敗しました";"Неуспео покушај повезивања";"";"Ha fallat l’intent de connexió";"连接尝试失败";"Pokus o pripojenie zlyhal";"Csatlakozási kísérlet sikertelen";"연결 시도 실패";"فشلت محاولة الاتصال";"ניסיון החיבור נכשל";"Bağlantı denemesi başarısız oldu";"Anslutning misslyckades";"Не вдалося під'єднатися";"Theip ar iarracht an naisc";"Tentative de connexion echouée";"";"Próba połączenia nie powiodła się";"Prisijungimas nepavyko";"Kết nối thất bại";"Tentativo di connessione fallito"
"contactHasBeenInvitedToTheGroup";"";"Yhteystieto on kutsuttu ryhmään";"Kontaktua taldera gonbidatua izan da";"Kontakt je pozvan u grupu";"";"Contact is voor de groep uitgenodigd";"Контакт был приглашен в группу";"El contacto ha sido invitado al grupo";"Contactul a fost invitat la grup";"";"Kontakt je bil povabljen v skupino";"Sinu kontakt on kutsutud liituma vestlusrühma";"Kontakt wurde in die Gruppe eingeladen";"O contato foi convidado ao grupo";"";"Kontakt invitert til gruppen";"O contacto foi convidado ó grupo";"مخاطب بہ گروه دعوت شده‌است";"Kontakt byl pozván do skupiny";"Kontak telah diundang ke grup";"";"Contact has been invited to the group";"";"連絡先に登録された人が招待されました";"Особа је позвана у групу";"";"El contacte ha estat convidat al grup";"联系人已被邀请至群组";"Kontakt bol pozvaný do skupiny";"Meghívtad az ismerősödet a csoportba";"연락처가 그룹에 초대되었습니다";"دعيَ المراسل للمجموعة";"איש הקשר הוזמן לקבוצה";"Kişi gruba davet edildi";"Kontakten har blivit inbjuden till gruppen";"Контакт був запрошений в групу";"Tugadh cuireadh don theagmháil a thar isteach sa grúpa";"Le contact a été invité au groupe";"";"Kontakt został zaproszony do grupy";"Kontaktas buvo pakviestas į grupę";"Liên hệ đã được mời vào nhóm";"Il contatto è stato invitato nel gruppo"
"containsDisplayName";"";"Sisältää näyttönimen";"pantaila-izena dauka";"Sadržava prikazano ime";"";"Bevat naam";"Содержит отображаемое имя";"Contiene nombre para mostrar";"Conține displayname";"";"Vsebuje prikazno ime";"Sisaldab kuvatavat nime";"Enthält Anzeigenamen";"Contém nome de exibição";"";"Inneholder visningsnavn";"Contén nome público";"نام نمایش را شامل می‌کند";"Obsahuje zobrazovaný název";"Berisi nama tampilan";"";"Contains display name";"";"表示名を含んでいます";"Садржи приказно име";"";"Conté el nom visible";"包含显示名称";"";"Tartalmazza a megjelenített becenevet";"표시 이름 포함";"يحوي الاسم العلني";"מכיל שם תצוגה";"Görünen ad içerir";"Innehåller visningsnamn";"Містить показуване ім’я";"Coinníonn sé ainm taispeána";"Contient un nom d'affichage";"";"Posiada wyświetlaną nazwę";"Yra  vardas";"";"Contiene nome visibile"
